Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
WT1	WT	P00816	cynS	22.229950781766597	4
WT2	WT	P00816	cynS	21.9491079343123	3
WT3	WT	P00816	cynS	22.35006065533961	5
bisC1	bisC	P00816	cynS	22.19753857590741	3
bisC2	bisC	P00816	cynS	22.245843969563115	5
bisC3	bisC	P00816	cynS	22.391059337245597	5
msrA1	msrA	P00816	cynS	22.37753133313816	4
msrA2	msrA	P00816	cynS	22.3754703596493	4
msrA3	msrA	P00816	cynS	22.276992197256924	4
msrB1	msrB	P00816	cynS	21.978479175889877	4
msrB2	msrB	P00816	cynS	22.267732108533504	4
msrB3	msrB	P00816	cynS	22.322244508264358	5
msrC1	msrC	P00816	cynS	22.636385878500608	5
msrC3	msrC	P00816	cynS	22.889272132842926	5
WT1	WT	P00861	lysA	22.978963169994238	13
WT2	WT	P00861	lysA	22.965350724179366	13
WT3	WT	P00861	lysA	22.84893759332783	14
bisC1	bisC	P00861	lysA	22.488455552484446	12
bisC2	bisC	P00861	lysA	22.066222088421984	12
bisC3	bisC	P00861	lysA	22.244465316344254	12
msrA1	msrA	P00861	lysA	23.50558964280301	14
msrA2	msrA	P00861	lysA	23.247346493377176	13
msrA3	msrA	P00861	lysA	22.74571524828107	12
msrB1	msrB	P00861	lysA	22.121935321539745	12
msrB2	msrB	P00861	lysA	21.87535705682692	12
msrB3	msrB	P00861	lysA	21.89832524891368	11
msrC1	msrC	P00861	lysA	22.123779623826973	13
msrC3	msrC	P00861	lysA	22.033765938817634	14
WT1	WT	P00864	ppc	27.555373874251085	73
WT2	WT	P00864	ppc	27.508624030937252	74
WT3	WT	P00864	ppc	27.491432082524646	78
bisC1	bisC	P00864	ppc	27.39224469685338	71
bisC2	bisC	P00864	ppc	27.381815011882402	73
bisC3	bisC	P00864	ppc	27.420800248985145	77
msrA1	msrA	P00864	ppc	27.442942863268723	74
msrA2	msrA	P00864	ppc	27.55419278347716	78
msrA3	msrA	P00864	ppc	27.404341992118397	76
msrB1	msrB	P00864	ppc	27.416144986324852	74
msrB2	msrB	P00864	ppc	27.427910753230638	70
