Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P76192	-0.44988559708616904	-0.6444671179104687	-0.25530407626186935	27.893282754811498	3.73946367033395e-4	0.01005684079127865	WT_vs_bisC
P42628	-0.561614328754235	-0.8062344384056916	-0.31699421910277836	21.564577941124025	3.950108281422952e-4	0.010530157076530133	WT_vs_bisC
P0C054	0.6117636865068974	0.3431010451244822	0.8804263278893125	25.29200164635615	4.210276063778231e-4	0.011040993953828116	WT_vs_bisC
P77609	-2.0898549576728342	-3.0077533399614307	-1.1719565753842376	21.283829815157976	4.214397165659959e-4	0.011040993953828116	WT_vs_bisC
P37340	-0.34166805247132714	-0.4919788883055496	-0.1913572166371047	23.91410919064043	4.267866841835562e-4	0.011085510540460062	WT_vs_bisC
P43533	-2.656508799357244	-3.8426730185452014	-1.470344580169287	21.15983382489433	4.7851070888074097e-4	0.012323678341428574	WT_vs_bisC
P75835	-0.5261602142498241	-0.7628289992848539	-0.2894914292147942	22.375311756132835	5.061961108535867e-4	0.012927142696504622	WT_vs_bisC
P08660	0.6612329957456282	0.3625469153814464	0.95991907610981	24.728532025044267	5.228137177243606e-4	0.013240257401369433	WT_vs_bisC
P77375	-0.44822382069877875	-0.6529230262281744	-0.24352461516938306	23.588508902785662	5.682496568433831e-4	0.014271989315264804	WT_vs_bisC
P68567	-0.21208615467046243	-0.3091984124679137	-0.11497389687301118	22.142772171505122	5.796642839503369e-4	0.014328110075987145	WT_vs_bisC
P0AA89	-1.1840793481269287	-1.7262889716468697	-0.6418697246069878	21.79022599758619	5.799136358494303e-4	0.014328110075987145	WT_vs_bisC
P03841	-0.5067986718582631	-0.7399856988642524	-0.27361164485227385	27.189053470540866	6.013136161656041e-4	0.014737032899413475	WT_vs_bisC
P0A9H1	0.27333564209922656	0.14680423935205078	0.39986704484640234	25.198150483648295	6.294171518766987e-4	0.0153023897964263	WT_vs_bisC
P69908	0.7312211076970456	0.3920050085081724	1.070437206885919	30.774837495712685	6.395818175433177e-4	0.015426104313604307	WT_vs_bisC
P23200	-0.5457520518444241	-0.8000185034156634	-0.2914856002731848	24.168983324803097	6.605335959852387e-4	0.015572782270281397	WT_vs_bisC
P0A9P6	-0.4942219634889291	-0.724663839731003	-0.2637800872468552	25.01412920010702	6.644838699885568e-4	0.015572782270281397	WT_vs_bisC
P76046	0.31800284878564256	0.16971433374950917	0.46629136382177594	22.086987860483113	6.649096437469082e-4	0.015572782270281397	WT_vs_bisC
P0A9J4	0.2943949044042853	0.15708059684741493	0.43170921196115564	22.83003990732151	6.661604788208561e-4	0.015572782270281397	WT_vs_bisC
P64557	0.4822926976496724	0.25618941362713565	0.7083959816722092	25.98693839634557	6.920031573847343e-4	0.016053416757955782	WT_vs_bisC
P02924	-0.6444281160807286	-0.9492519862135412	-0.33960424594791594	26.002199649529295	7.395841695897596e-4	0.017027244631691512	WT_vs_bisC
Q46812	0.3911790448316701	0.2059096373860585	0.5764484522772817	26.804293439341077	7.466169995315972e-4	0.017059917756214467	WT_vs_bisC
P0A935	0.33444794781622633	0.17567612482003092	0.49321977081242174	23.57131181784527	7.596934487117263e-4	0.01722916709429057	WT_vs_bisC
P20966	-0.24635939992209188	-0.3645887864057936	-0.12813001343839012	25.51266007780702	8.230802541023834e-4	0.01852845105346032	WT_vs_bisC
P28224	0.46217751674039675	0.2394128099274348	0.6849422235533587	21.5828455352081	8.497208973645047e-4	0.018987513287431836	WT_vs_bisC
P0AE26	-0.5519109444878261	-0.8181938523074017	-0.2856280366682505	20.822670262734277	8.560173072526317e-4	0.01898858829737772	WT_vs_bisC
P37195	0.7533390082538958	0.389345873578498	1.1173321429292935	21.410605737050723	8.651532877540095e-4	0.019052180010756776	WT_vs_bisC
P42592	4.89361601512018	2.522216804261921	7.2650152259784395	14.755233045547579	8.839196768157093e-4	0.019325409336999576	WT_vs_bisC
P09835	-0.3952047737597084	-0.5869693522270913	-0.20344019529232546	21.794633731046442	8.924707595415032e-4	0.0193729902731902	WT_vs_bisC
P52076	0.6846661475004794	0.3491069867509566	1.0202253082500021	21.67201763592323	9.599972780687939e-4	0.020691005163482726	WT_vs_bisC
P36672	-0.33354432750650176	-0.49753148236069406	-0.16955717265230946	28.50809164978748	9.821789067002594e-4	0.021020011953958365	WT_vs_bisC
P0ABX2	-3.210684516941143	-4.795993836683303	-1.625375197198982	19.770222964387347	0.001013137316808373	0.02153093920126326	WT_vs_bisC
P16256	-0.3202197611598905	-0.47898529711888393	-0.16145422520089703	22.149759661341072	0.0010437982803015958	0.02202849287386493	WT_vs_bisC
P13445	-0.3720601858039494	-0.5578946500190691	-0.18622572158882966	25.381704058991865	0.0011007645034908674	0.0230705056973017	WT_vs_bisC
P11667	0.7098207269737706	0.3521238801536106	1.0675175737939306	22.54977231619978	0.0011730026925436613	0.024416131387946488	WT_vs_bisC
P77552	0.28084714213197515	0.13900167917943157	0.4226926050845187	26.12501045264952	0.0011920308948718751	0.02464341421439203	WT_vs_bisC
P0AF48	0.364686832265793	0.1786248359189319	0.5507488286126541	24.150208018189563	0.0012809021032536558	0.026301766836404457	WT_vs_bisC
P76034	-0.29022885773393625	-0.4388417053178656	-0.14161601015000694	24.031444288414722	0.0013142771614279274	0.026805961701875648	WT_vs_bisC
P76129	-1.0742562773653503	-1.6286938397023332	-0.5198187150283675	19.46120534148552	0.0013895292970072437	0.02815186355736676	WT_vs_bisC
P06864	-0.3810302239549621	-0.5791177927224679	-0.1829426551874563	20.802188402637707	0.001462150247903841	0.029426984128342867	WT_vs_bisC
P25718	-0.5424329859328374	-0.825375497706474	-0.25949047415920073	21.023090110436613	0.0014967897703580461	0.029925948106040146	WT_vs_bisC
P09323	-0.25140370095613207	-0.3829227974063423	-0.11988460450592184	26.94433475188033	0.0015275227606380256	0.030118534940493148	WT_vs_bisC
P0AC86	0.1937575843825563	0.0923388179605137	0.2951763508045989	25.568229971425065	0.0015334779232768349	0.030118534940493148	WT_vs_bisC
P0ADU5	0.5358291915982853	0.25528926880523856	0.8163691143913321	30.140483228597923	0.0015361542993670412	0.030118534940493148	WT_vs_bisC
P05825	-0.8816631577790908	-1.344728275389309	-0.4185980401688726	25.21067685422938	0.001570279633547271	0.03059025516891126	WT_vs_bisC
P0AB26	0.3108203481437215	0.14694467976381725	0.47469601652362575	24.606103362256402	0.0016126575917996566	0.0309835534877644	WT_vs_bisC
P37342	0.2729800094169761	0.12899637815914458	0.4169636406748076	26.138858908661952	0.0016172273055780598	0.0309835534877644	WT_vs_bisC
P0AD59	0.41569133382259693	0.19635966136587635	0.6350230062793175	26.787911982090467	0.001621054624730023	0.0309835534877644	WT_vs_bisC
P27243	-0.3217416321228086	-0.4925729795147475	-0.1509102847308697	23.341182900252303	0.0016930820771332308	0.0321579777025493	WT_vs_bisC
P32157	0.2702040584742029	0.1259525874787663	0.41445552946963954	27.820277153183802	0.001757885095792445	0.03318144600070335	WT_vs_bisC
